Sourcerecord ID,Source Title,Print-ISSN,E-ISSN,Titles discontinued by Scopus due to quality issues,Coverage,2018 CiteScore,"2018
SJR","2018
SNIP",2019 CiteScore,"2019
SJR","2019
SNIP",2020 CiteScore,"2020
SJR","2020
SNIP",All Science Journal Classification Codes (ASJC),,,,,,,,,,,,,
26665,Canadian Conference on Electrical and Computer Engineering,08407789,,,"2013-2018, 1993-2011",,0.168,0.337,,0.182,0.509,,0.203,0.590,2208; 1708; ,,,,,,,,,,,,,
21034,Ceramic Engineering and Science Proceedings,01966219,,,"1993-2019, 1990, 1982-1988",,0.154,0.221,,0.146,0.152,,0.128,0.161,2505; 2503; ,,,,,,,,,,,,,
21100218356,CEUR Workshop Proceedings,16130073,,,"2000-2020, 1998, 1994-1995, 1989",,0.166,0.310,,0.177,0.297,,0.177,0.345,1700; ,,,,,,,,,,,,,
110466,"Collection of Technical Papers - AIAA/ASME/ASCE/AHS/ASC Structures, Structural Dynamics and Materials Conference",02734508,,,"1993-2013, 1990, 1984-1986, 1980-1982, 1978",,,,,,,,,,2210; 2211; 2202; 2500; 2216; ,,,,,,,,,,,,,
28641,Computational Studies,14626063,,,"2004, 2002, 2000",,,,,,,,,,2200; ,,,,,,,,,,,,,
89519,"Computer Animation, Conference Proceedings",,,,"2009, 2005, 2001-2002, 1999, 1997",,,,,,,,,,1704; 1712; ,,,,,,,,,,,,,
23618,Computers in Cardiology,02766574,,,"1995-2009, 1991-1993, 1987-1989, 1983-1985, 1979-1981, 1977",,,,,,,,,,2705; 1706; ,,,,,,,,,,,,,
21100236007,Computing in Cardiology,23258861,2325887X,,2010-2019,,0.202,0.396,,0.296,0.404,,0.257,0.371,2705; 1700; ,,,,,,,,,,,,,
29726,Conference Digest - IEEE International Semiconductor Laser Conference,08999406,,,"2018, 2016, 2014, 2012, 2010, 2008, 2006, 2004, 2002, 2000, 1998, 1996, 1994, 1992, 1990",,0.146,0.168,,0.190,0.270,,0.168,0.268,2208; 3107; ,,,,,,,,,,,,,
31473,Conference on Human Factors in Computing Systems - Proceedings,,,,"1988-2019, 1986, 1982-1983",,0.306,1.661,,0.672,1.597,,0.326,1.580,1704; 1709; 1712; ,,,,,,,,,,,,,
80086,"Conference on Optical Fiber Communication, Technical Digest Series",,,,"2014-2015, 2009, 1997-2005, 1994",,0.190,0.169,,,,,,,2208; 2504; ,,,,,,,,,,,,,
99344,Conference on Quantum Electronics and Laser Science (QELS) - Technical Digest Series,,,,"2007-2008, 2002-2003, 2000, 1996-1997",,,,,,,,,,3100; ,,,,,,,,,,,,,
18018,Conference on Robotics and Remote Systems- Proceedings,00698644,,,"2004, 1996, 1990-1991, 1986-1987, 1979-1984, 1976-1977",,,,,,,,,,2208; 2200; 2104; 2207; ,,,,,,,,,,,,,
64439,Conference on Software Maintenance,,,,"1993-2002, 1989-1990",,,,,,,,,,1712; ,,,,,,,,,,,,,
73933,"Conference Proceedings - Annual International Symposium on Computer Architecture, ISCA",10636897,,,1994-2004,,,,,,,,,,1708; ,,,,,,,,,,,,,
31003,Conference Proceedings - IEEE Applied Power Electronics Conference and Exposition - APEC,,,,1992-2019,,0.462,0.650,,0.674,0.660,,0.477,0.689,2208; ,,,,,,,,,,,,,
12138,Conference Proceedings - International Conference on Indium Phosphide and Related Materials,10928669,,,1994-2014,,,,,,,,,,2208; 2504; ,,,,,,,,,,,,,
12114,Conference Proceedings - Lasers and Electro-Optics Society Annual Meeting-LEOS,10928081,,,"1992-2009, 1989-1990",,,,,,,,,,2208; 2504; ,,,,,,,,,,,,,
80264,Conference Proceedings from the International Symposium for Testing and Failure Analysis,,,,"2005-2015, 1998-2002",,0.106,0.424,,,,,,,2208; 2213; 2207; ,,,,,,,,,,,,,
20568,Conference Proceedings of the Annual ACM Symposium on Theory of Computing,07349025,,,"1996-2004, 1992-1994, 1987, 1985, 1983, 1980-1981",,,,,,,,,,1712; ,,,,,,,,,,,,,
18655,Conference Proceedings of the EUROMICRO,10896503,,,"2009, 1999-2004, 1997, 1994",,,,,,,,,,1708; 2207; ,,,,,,,,,,,,,
17898,Conference Record - IAS Annual Meeting (IEEE Industry Applications Society),01972618,,,"1992-2013, 1977-1990",,0.112,,,0.113,,,,,2208; 2209; 2207; ,,,,,,,,,,,,,
16401,Conference Record - IEEE Cement Industry Technical Conference,07314906,,,"2008-2016, 2006, 1992-2004, 1985-1990, 1982, 1976-1980",,0.117,0.048,,0.104,0.000,,,,2209; 2500; 2207; ,,,,,,,,,,,,,
15045,Conference Record - IEEE Instrumentation and Measurement Technology Conference,10915281,,,"2019, 2013-2016, 2011, 1993-2008, 1991",,0.197,0.594,,0.226,0.630,,,,2208; ,,,,,,,,,,,,,
33201,Conference Record - International Conference on Communications,05361486,,,"1989-2019, 1983-1987, 1979-1981, 1969",,0.360,0.734,,0.551,0.764,,0.451,0.631,2208; 1705; ,,,,,,,,,,,,,
78931,Conference Record of Industrial and Commercial Power Systems Technical Conference,,,,"1999-2004, 1995-1997",,,,,,,,,,2208; ,,,,,,,,,,,,,
24886,Conference Record of the Annual ACM Symposium on Principles of Programming Languages,07308566,,,"1990-2017, 1975-1988, 1973",,0.722,4.028,,1.085,4.160,,0.774,4.604,1712; ,,,,,,,,,,,,,
12222,"Conference Record of the Asilomar Conference on Signals, Systems and Computers",10586393,,,"2019, 1997-2017, 1992-1995, 1985",,0.252,0.344,,0.322,0.454,,0.238,0.366,1705; 1711; ,,,,,,,,,,,,,
17298,Conference Record of the IEEE Photovoltaic Specialists Conference,01608371,,,"2019, 2015-2016, 2008-2013, 2005, 2002, 2000, 1996-1997, 1992-1994, 1990, 1984-1988, 1980-1982, 1978",,0.241,0.342,,0.241,0.364,,0.203,0.163,2208; 2209; 2207; ,,,,,,,,,,,,,
67387,"Congress on Computing in Civil Engineering, Proceedings",,,,"2017, 2015, 2011-2012, 2007, 2002, 1994-1998, 1989, 1986, 1984",,0.223,0.371,,0.323,0.487,,0.271,0.576,1706; 2205; ,,,,,,,,,,,,,
86529,"Control Systems, Preprints, Conference",,,,"2004, 2000, 1996",,,,,,,,,,2200; ,,,,,,,,,,,,,
52214,CPEM Digest (Conference on Precision Electromagnetic Measurements),05891485,,,"2014, 2012, 2010, 2008, 2004, 2002, 2000, 1998, 1996, 1994, 1990, 1988, 1984, 1980",,,0.247,,,0.322,,,,2208; 3105; 2504; ,,,,,,,,,,,,,
15800,DGMK Tagungsbericht,14339013,,,"2001-2019, 1999",,0.108,0.110,,0.121,0.087,,0.103,0.079,2102; 2103; ,,,,,,,,,,,,,
29506,Diffusion and Defect Data Pt.B: Solid State Phenomena,10120394,,,1997-2000,,,,,,,,,,3101; 3104; 2500; 2504; ,,,,,,,,,,,,,
25032,Digest of Papers - IEEE Symposium on Mass Storage Systems,10519173,,,"2003, 1999, 1992-1995, 1990, 1987-1988, 1984-1985, 1982",,,,,,,,,,1708; ,,,,,,,,,,,,,
26010,Digest of Technical Papers - IEEE International Conference on Consumer Electronics,0747668X,,,"2011-2014, 2005-2009, 1993-2002, 1984",,,,,,,,,,2208; 2209; ,,,,,,,,,,,,,
26020,Digest of Technical Papers - IEEE International Solid-State Circuits Conference,01936530,,,"2000-2019, 1992-1998, 1981-1990, 1975-1979, 1972-1973, 1966-1968, 1958-1964",,2.371,2.663,,3.595,2.849,,3.447,2.615,2208; 2504; ,,,,,,,,,,,,,
14937,Digest of Technical Papers - Symposium on VLSI Technology,07431562,,,"2003-2019, 1982-2000",,1.065,1.641,,1.315,1.593,,1.190,1.524,2208; ,,,,,,,,,,,,,
55739,Digest of Technical Papers-IEEE International Pulsed Power Conference,,,,"2015, 2013, 2011, 2007, 2005, 2003, 1999, 1997, 1995",,0.149,0.315,,,,,,,2208; 2102; ,,,,,,,,,,,,,
99585,Digests of the Intermag Conference,00746843,,,"2002-2003, 1999-2000, 1984",,,,,,,,,,2208; ,,,,,,,,,,,,,
21100795900,E3S Web of Conferences,,22671242,,2013-2020,,0.174,0.588,,0.166,0.478,,0.203,0.608,1900; 2100; 2300; ,,,,,,,,,,,,,
3400148107,ECS Transactions,19385862,19386737,,2005-2019,,0.224,0.252,,0.233,0.298,,0.235,0.268,2200; ,,,,,,,,,,,,,
96562,"Electrical Contacts, Proceedings of the Annual Holm Conference on Electrical Contacts",03614395,,,"2019, 2015-2017, 2005-2012, 1992-2003, 1988-1990, 1979-1983",,0.142,0.482,,0.294,0.735,,0.200,0.550,2208; 2504; ,,,,,,,,,,,,,
21100244944,"Electronic Proceedings in Theoretical Computer Science, EPTCS",20752180,,,2009-2020,,0.305,0.626,,0.327,0.557,,0.338,0.788,1712; ,,,,,,,,,,,,,
17700156736,Energy Procedia,18766102,,,2009-2019,,0.468,0.602,,0.545,0.792,,0.474,1.079,2100; ,,,,,,,,,,,,,
58092,Environment Canada Arctic and Marine Oil Spill Program Technical Seminar (AMOP) Proceedings,,,,1998-2008,,,,,,,,,,2212; 2300; 2102; 1500; ,,,,,,,,,,,,,
21100227410,EPJ Web of Conferences,21016275,2100014X,Discontinued by Scopus,2009-2018,,0.182,0.262,,0.184,0.334,,,0.351,3100; ,,,,,,,,,,,,,
27179,"European Space Agency, (Special Publication) ESA SP",03796566,,,"2000-2016, 1996-1998, 1989-1990, 1979-1987",,0.127,0.126,,0.146,0.094,,,,1912; 2202; ,,,,,,,,,,,,,
88444,Festkoerperprobleme,04303393,,,"1984, 1980-1982, 1976-1978",,,,,,,,,,2200; ,,,,,,,,,,,,,
53499,"Forensic Engineering, Proceedings of the Congress",,,,"2009-2010, 2007, 2003, 2000, 1997",,,,,,,,,,2200; 2734; ,,,,,,,,,,,,,
100222,Gastech Conference Proceedings,,,,"2005-2006, 2002, 2000",,,,,,,,,,2100; ,,,,,,,,,,,,,
27028,Geotechnical Special Publication,08950563,,,1987-2020,,0.204,0.241,,0.245,0.232,,0.258,0.285,1909; 2215; 2216; 2205; ,,,,,,,,,,,,,
14542,Hardware/Software Codesign - Proceedings of the International Workshop,10926100,,,"1996-2003, 1994",,,,,,,,,,1708; ,,,,,,,,,,,,,
81640,Hart World Fuels Conference,,,,2002-2004,,,,,,,,,,2100; ,,,,,,,,,,,,,
35976,IATUL Proceedings,00188476,,,"2002, 1982-1983, 1980, 1977",,,,,,,,,,3309; ,,,,,,,,,,,,,
110547,"ICIASF Record, International Congress on Instrumentation in Aerospace Simulation Facilities",07302010,,,"2007, 2005, 2003, 2001, 1999, 1997, 1995, 1991, 1989, 1987, 1985, 1983",,,,,,,,,,3104; 2202; 3105; ,,,,,,,,,,,,,
56670,IECON Proceedings (Industrial Electronics Conference),,,,"1993-2014, 1989-1991",,,0.548,,,0.669,,0.148,0.201,2208; 2207; ,,,,,,,,,,,,,
34914,IEE Conference Publication,05379989,,,"2004-2005, 1973-2002, 1970-1971, 1923-1923",,0.101,,,0.101,,,,,2208; ,,,,,,,,,,,,,
75113,IEEE Aerospace Conference Proceedings,1095323X,,,"2000-2019, 1998",,0.281,0.882,,0.371,0.858,,0.359,0.725,1912; 2202; ,,,,,,,,,,,,,
88865,IEEE AFRICON Conference,21530025,21530033,,"2015, 2013, 2011, 2009, 2007, 2004, 2002, 1999, 1996, 1992",,0.137,0.483,,,,,0.104,0.044,2208; 1706; ,,,,,,,,,,,,,
23381,"IEEE Annual International Carnahan Conference on Security Technology, Proceedings",,,,"1999-2003, 1994-1996",,,,,,,,,,2200; ,,,,,,,,,,,,,
144855,"IEEE Asia-Pacific Conference on Circuits and Systems, Proceedings, APCCAS",,,,"2015, 2012, 2010, 2008, 2006, 2004, 2002",,0.129,0.509,,,,,,,2208; ,,,,,,,,,,,,,
96648,IEEE Conference on Human Factors and Power Plants,,,,"2007, 2002, 1997, 1988",,,,,,,,,,2208; ,,,,,,,,,,,,,
77635,"IEEE Conference on Intelligent Transportation Systems, Proceedings, ITSC",,,,"2015, 1999-2013, 1997",,0.320,1.021,,,,,,,1706; 2210; 2203; ,,,,,,,,,,,,,
97855,IEEE Conference Record of Annual Pulp and Paper Industry Technical Conference,01902172,,,"1986-2018, 1977-1984",,0.149,0.694,,0.160,1.230,,0.109,0.535,2208; 2209; ,,,,,,,,,,,,,
26108,IEEE High-Performance Computer Architecture Symposium Proceedings,15300897,,,"2004, 1995-2001",,,,,,,,,,1708; ,,,,,,,,,,,,,
70642,"IEEE Intelligent Vehicles Symposium, Proceedings",,,,"2003-2015, 2000, 1996",,0.336,1.549,,,,,,,1706; 2203; 2611; ,,,,,,,,,,,,,
38572,"IEEE International Conference on Conduction and Breakdown in Dielectric Liquids, ICDL",,,,"2002, 1999, 1996",,,,,,,,,,2200; 2500; ,,,,,,,,,,,,,
110565,IEEE International Conference on Fuzzy Systems,10987584,,,"2017-2019, 2011-2015, 1994-2009",,0.228,0.544,,0.271,0.525,,0.280,0.557,2604; 1702; 1712; 2614; ,,,,,,,,,,,,,
92868,IEEE International Conference on Image Processing,,,,1995-2003,,,,,,,,,,2208; 1707; 1708; ,,,,,,,,,,,,,
66854,IEEE International Conference on Intelligent Robots and Systems,,,,"2011-2019, 2006-2007, 1995-2003, 1992-1993, 1988-1989",,0.589,1.018,,0.897,1.100,,0.597,1.083,1706; 1707; 1712; 2207; ,,,,,,,,,,,,,
79800,IEEE International Conference on Microelectronic Test Structures,,,,"1993-2019, 1988",,0.222,0.422,,0.226,0.465,,0.243,0.526,2208; ,,,,,,,,,,,,,
110573,IEEE International Conference on Neural Networks - Conference Proceedings,10987576,,,"2006-2007, 2004, 1993-1998",,,,,,,,,,1712; ,,,,,,,,,,,,,
17262,IEEE International Conference on Plasma Science,07309244,,,"2009, 1998-2004, 1996, 1994",,,,,,,,,,2208; 3104; 3107; ,,,,,,,,,,,,,
20300195002,IEEE International Conference on Rehabilitation Robotics,19457898,19457901,,"2019, 2017, 2015, 2013, 2011",,0.286,0.746,,0.375,0.811,,0.298,0.803,2208; 2742; 2207; ,,,,,,,,,,,,,
145233,"IEEE International Conference on Software Maintenance, ICSM",,,,"2003-2013, 2001",,,,,,,,,,1712; ,,,,,,,,,,,,,
53838,IEEE International Engineering Management Conference,,,,"2000-2008, 1998, 1993-1996",,,,,,,,,,1803; 2200; ,,,,,,,,,,,,,
13746,"IEEE International Performance, Computing and Communications Conference, Proceedings",10972641,,,"2000-2004, 1997-1998",,,,,,,,,,2214; ,,,,,,,,,,,,,
110577,IEEE International Professional Communication Conference,,,,"2015-2019, 1999-2013, 1995-1997",,0.185,0.203,,0.227,0.439,,0.220,0.349,2200; 3315; ,,,,,,,,,,,,,
110579,IEEE International SOI Conference,1078621X,,,1992-2012,,,,,,,,,,2208; 2504; ,,,,,,,,,,,,,
28024,IEEE International Symposium on Applications of Ferroelectrics,,,,"2005-2009, 2002, 2000, 1998, 1996, 1994",,,,,,,,,,2208; 2504; ,,,,,,,,,,,,,
17274,IEEE International Symposium on Electromagnetic Compatibility,10774076,21581118,,"1993-2019, 1989-1991, 1985-1987, 1979-1983",,0.283,0.675,,0.158,0.244,,0.149,0.444,2208; 3104; ,,,,,,,,,,,,,
26021,IEEE International Symposium on Electronics and the Environment,,,,1993-2008,,,,,,,,,,2208; 2310; 2311; 2305; ,,,,,,,,,,,,,
26129,"IEEE International Symposium on High Performance Distributed Computing, Proceedings",10828907,,,"2011, 2009, 1999-2006, 1995-1997, 1992-1993",,,,,,,,,,1705; 1712; ,,,,,,,,,,,,,
110567,IEEE International Symposium on Information Theory - Proceedings,21578095,,,"1997-2019, 1994-1995, 1991, 1972",,0.711,0.831,,0.910,0.863,,0.600,0.686,2604; 2611; 1710; 2614; ,,,,,,,,,,,,,
110569,IEEE International Symposium on Intelligent Control - Proceedings,,,,"2015, 2013, 2010-2011, 2008, 2006, 1994-2004, 1992",,0.208,0.424,,,,,,,2208; 1706; 2611; 2207; ,,,,,,,,,,,,,
19542,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications, PIMRC",,,,"2000-2015, 1995-1998",,0.289,0.731,,,,,,,2208; ,,,,,,,,,,,,,
26165,IEEE International Symposium on Power Semiconductor Devices and ICs (ISPSD),,,,1994-2004,,,,,,,,,,2208; ,,,,,,,,,,,,,
17315,"IEEE International Symposium on Semiconductor Manufacturing Conference, Proceedings",1523553X,10788743,,"2019, 2017, 1992-2014",,0.101,0.009,,0.123,0.007,,0.208,0.255,2208; 2209; 2200; 2504; ,,,,,,,,,,,,,
25589,IEEE International Test Conference (TC),10893539,,,"2019, 2015-2017, 1995-2013, 1992, 1989",,0.138,0.621,,0.355,1.364,,0.219,0.467,2604; 2208; ,,,,,,,,,,,,,
17280,IEEE MTT-S International Microwave Symposium Digest,0149645X,,,"2016-2019, 1987-2014, 1983-1985, 1980-1981, 1976",,0.453,0.795,,0.637,0.705,,0.492,0.634,2208; 3104; 3108; ,,,,,,,,,,,,,
110583,IEEE National Radar Conference - Proceedings,10975659,,,"2009-2015, 1995-2007",,0.281,0.801,,,,,,,2208; ,,,,,,,,,,,,,
90890,IEEE Nuclear Science Symposium Conference Record,10957863,,,2000-2013,,,,,,,,,,2741; 3106; 3108; ,,,,,,,,,,,,,
18209,"IEEE Pacific Rim Conference on Communications, Computers and Signal Processing Conference Proceedings",,,,"2015, 2013, 2011, 2009, 2007, 2005, 2003, 2001, 1999, 1997, 1995, 1993, 1991, 1987",,0.131,0.309,,,,,,,1705; 1711; ,,,,,,,,,,,,,
65469,"IEEE Radio Frequency Integrated Circuits Symposium, RFIC, Digest of Technical Papers",10972633,,,1997-2019,,1.030,0.949,,1.731,1.083,,1.338,1.031,2200; ,,,,,,,,,,,,,
31517,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",21593442,21593450,,"2015-2019, 2002-2013, 1999-2000, 1995-1997, 1991-1993",,0.125,0.248,,0.169,0.408,,0.178,0.357,2208; 1706; ,,,,,,,,,,,,,
60409,"IEEE Semiconducting and Semi-Insulating Materials Conference, SIMC",,,,"2005, 2002, 1999-2000, 1996",,,,,,,,,,2200; ,,,,,,,,,,,,,
68673,"IEEE Symposium on VLSI Circuits, Digest of Technical Papers",,,,"2017-2019, 1994-2015",,0.966,1.359,,2.257,1.766,,1.755,1.144,2208; 2504; ,,,,,,,,,,,,,
96278,IEEE Symposium Record on Network Operations and Management Symposium,,,,"2006, 2004, 2002, 2000, 1998, 1996, 1994",,,,,,,,,,2208; 1708; ,,,,,,,,,,,,,
23922,IEEE Vehicular Technology Conference,15502252,,,"1981-2019, 1975, 1970-1971, 1967-1968",,0.209,0.551,,0.341,0.472,,0.277,0.401,2604; 2208; 1706; ,,,,,,,,,,,,,
51882,"IEEE/ACM International Conference on Computer-Aided Design, Digest of Technical Papers",10923152,,,"2015-2019, 1995-2013",,0.370,1.018,,0.576,1.330,,0.501,1.305,1704; 1706; 1712; ,,,,,,,,,,,,,
73004,"IEEE/ASME International Conference on Advanced Intelligent Mechatronics, AIM",,,,"2014-2015, 2007-2012, 2005, 2003, 2001, 1999, 1997",,0.213,0.734,,,,,,,2208; 1706; 1712; 2207; ,,,,,,,,,,,,,
