id,pubMedId,publishedDateForPrint,title,authors,openAccess
731312473,28942924,2017 Oct 19,Excitable Dynamics and Yap-Dependent Mechanical Cues Drive the Segmentation Clock.,Hubaud A; Regev I; Mahadevan L; Pourquié O,False
742248834,35853453,2022 Jun 30,HGT is widespread in insects and contributes to male courtship in lepidopterans.,Li Y; Liu Z; Liu C; Shi Z; Pang L; Chen C; Chen Y; Pan R; Zhou W; Chen XX; Rokas A; Huang J; Shen XX,False
741504923,35139340,2022 03 03,SARS-CoV-2 vaccination induces immunological T cell memory able to cross-recognize variants from Alpha to Omicron.,Tarke A; Coelho CH; Zhang Z; Dan JM; Yu ED; Methot N; Bloom NI; Goodwin B; Phillips E; Mallal S; Sidney J; Filaci G; Weiskopf D; da Silva Antunes R; Crotty S; Grifoni A; Sette A,False
742214469,35768006,2022 Jul 07,Mild respiratory COVID can cause multi-lineage neural cell and myelin dysregulation.,Fernández-Castañeda A; Lu P; Geraghty AC; Song E; Lee MH; Wood J; O'Dea MR; Dutton S; Shamardani K; Nwangwu K; Mancusi R; Yalçın B; Taylor KR; Acosta-Alvarez L; Malacon K; Keough MB; Ni L; Woo PJ; Contreras-Esquivel D; Toland AMS; Gehlhausen JR; Klein J; Takahashi T; Silva J; Israelow B; Lucas C; Mao T; Peña-Hernández MA; Tabachnikova A; Homer RJ; Tabacof L; Tosto-Mancuso J; Breyman E; Kontorovich A; McCarthy D; Quezado M; Vogel H; Hefti MM; Perl DP; Liddelow S; Folkerth R; Putrino D; Nath A; Iwasaki A; Monje M,False
742218549,35777355,2022 Jun 28,A volatile from the skin microbiota of flavivirus-infected hosts promotes mosquito attractiveness.,Zhang H; Zhu Y; Liu Z; Peng Y; Peng W; Tong L; Wang J; Liu Q; Wang P; Cheng G,False
742197000,35709748,2022 Jun 23,Bone marrow hematopoiesis drives multiple sclerosis progression.,Shi K; Li H; Chang T; He W; Kong Y; Qi C; Li R; Huang H; Zhu Z; Zheng P; Ruan Z; Zhou J; Shi FD; Liu Q,False
739575412,33606976,2021 03 04,Antidepressant drugs act by directly binding to TRKB neurotrophin receptors.,Casarotto PC; Girych M; Fred SM; Kovaleva V; Moliner R; Enkavi G; Biojone C; Cannarozzo C; Sahu MP; Kaurinkoski K; Brunello CA; Steinzeig A; Winkel F; Patil S; Vestring S; Serchov T; Diniz CRAF; Laukkanen L; Cardon I; Antila H; Rog T; Piepponen TP; Bramham CR; Normann C; Lauri SE; Saarma M; Vattulainen I; Castrén E,False
741810526,35294858,2022 Mar 31,Receptor-associated independent cAMP nanodomains mediate spatiotemporal specificity of GPCR signaling.,Anton SE; Kayser C; Maiellaro I; Nemec K; Möller J; Koschinski A; Zaccolo M; Annibale P; Falcke M; Lohse MJ; Bock A,False
741863730,35303428,2022 Mar 17,TFPI is a colonic crypt receptor for TcdB from hypervirulent clade 2 C. difficile.,Luo J; Yang Q; Zhang X; Zhang Y; Wan L; Zhan X; Zhou Y; He L; Li D; Jin D; Zhen Y; Huang J; Li Y; Tao L,False
741865688,35325593,2022 Apr 14,Liquid-to-solid phase transition of oskar ribonucleoprotein granules is essential for their function in Drosophila embryonic development.,Bose M; Lampe M; Mahamid J; Ephrussi A,False
733392250,29887380,2018 07 12,A Flat BAR Protein Promotes Actin Polymerization at the Base of Clathrin-Coated Pits.,Almeida-Souza L; Frank RAW; García-Nafría J; Colussi A; Gunawardana N; Johnson CM; Yu M; Howard G; Andrews B; Vallis Y; McMahon HT,False
741828469,35305314,2022 Mar 31,Tumor-reactive antibodies evolve from non-binding and autoreactive precursors.,Mazor RD; Nathan N; Gilboa A; Stoler-Barak L; Moss L; Solomonov I; Hanuna A; Divinsky Y; Shmueli MD; Hezroni H; Zaretsky I; Mor M; Golani O; Sabah G; Jakobson-Setton A; Yanichkin N; Feinmesser M; Tsoref D; Salman L; Yeoshoua E; Peretz E; Erlich I; Cohen NM; Gershoni JM; Freund N; Merbl Y; Yaari G; Eitan R; Sagi I; Shulman Z,False
742107472,35512705,2022 May 12,Spatiotemporal transcriptomic atlas of mouse organogenesis using DNA nanoball-patterned arrays.,Chen A; Liao S; Cheng M; Ma K; Wu L; Lai Y; Qiu X; Yang J; Xu J; Hao S; Wang X; Lu H; Chen X; Liu X; Huang X; Li Z; Hong Y; Jiang Y; Peng J; Liu S; Shen M; Liu C; Li Q; Yuan Y; Wei X; Zheng H; Feng W; Wang Z; Liu Y; Yang Y; Xiang H; Han L; Qin B; Guo P; Lai G; Muñoz-Cánoves P; Maxwell PH; Thiery JP; Wu QF; Zhao F; Chen B; Li M; Dai X; Wang S; Kuang H; Hui J; Wang L; Fei JF; Wang O; Wang B; Gu Y; Ni M; Zhang W; Mu F; Yin Y; Yang H; Lisby M; Cornall RJ; Mulder J; Uhlén M; Esteban MA; Li Y; Liu L; Xu X; Wang J,False
733205350,29754817,2018 05 17,Vitamin D switches BAF complexes to protect β cells.,Wei Z; Yoshihara E; He N; Hah N; Fan W; Pinto AFM; Huddy T; Wang Y; Ross B; Estepa G; Dai Y; Ding N; Sherman MH; Fang S; Zhao X; Liddle C; Atkins AR; Yu RT; Downes M; Evans RM,False
738833069,33058757,2020 Nov 12,The geometry of abstraction in the hippocampus and prefrontal cortex.,Bernardi S; Benna MK; Rigotti M; Munuera J; Fusi S; Salzman CD,False
742134615,35525246,2022 May 02,Recurrent inversion polymorphisms in humans associate with genetic instability and genomic disorders.,Porubsky D; Höps W; Ashraf H; Hsieh P; Rodriguez-Martin B; Yilmaz F; Ebler J; Hallast P; Maria Maggiolini FA; Harvey WT; Henning B; Audano PA; Gordon DS; Ebert P; Hasenfeld P; Benito E; Zhu Q; Human Genome Structural Variation Consortium (HGSVC); Lee C; Antonacci F; Steinrücken M; Beck CR; Sanders AD; Marschall T; Eichler EE; Korbel JO,False
741685359,35196500,2022 Mar 03,Cell surface fluctuations regulate early embryonic lineage sorting.,Yanagida A; Corujo-Simon E; Revell CK; Sahu P; Stirparo GG; Aspalter IM; Winkel AK; Peters R; De Belly H; Cassani DAD; Achouri S; Blumenfeld R; Franze K; Hannezo E; Paluch EK; Nichols J; Chalut KJ,False
741490414,35063085,2022 Feb 17,Cellular architecture of human brain metastases.,Gonzalez H; Mei W; Robles I; Hagerling C; Allen BM; Hauge Okholm TL; Nanjaraj A; Verbeek T; Kalavacherla S; van Gogh M; Georgiou S; Daras M; Phillips JJ; Spitzer MH; Roose JP; Werb Z,False
740122457,34004145,2021 Jun 10,Small RNAs are modified with N-glycans and displayed on the surface of living cells.,Flynn RA; Pedram K; Malaker SA; Batista PJ; Smith BAH; Johnson AG; George BM; Majzoub K; Villalta PW; Carette JE; Bertozzi CR,False
741489618,35063084,2022 Feb 17,Tau interactome maps synaptic and mitochondrial processes associated with neurodegeneration.,Tracy TE; Madero-Pérez J; Swaney DL; Chang TS; Moritz M; Konrad C; Ward ME; Stevenson E; Hüttenhain R; Kauwe G; Mercedes M; Sweetland-Martin L; Chen X; Mok SA; Wong MY; Telpoukhovskaia M; Min SW; Wang C; Sohn PD; Martin J; Zhou Y; Luo W; Trojanowski JQ; Lee VMY; Gong S; Manfredi G; Coppola G; Krogan NJ; Geschwind DH; Gan L,False
741524398,35085485,2022 Feb 03,Genomic structure predicts metabolite dynamics in microbial communities.,Gowda K; Ping D; Mani M; Kuehn S,False
739022999,33186530,12 Nov 2020,Integrated Morphoelectric and Transcriptomic Classification of Cortical GABAergic Cells.,Gouwens NW; Sorensen SA; Baftizadeh F; Budzillo A; Lee BR; Jarsky T; Alfiler L; Baker K; Barkan E; Berry K; Bertagnolli D; Bickley K; Bomben J; Braun T; Brouner K; Casper T; Crichton K; Daigle TL; Dalley R; de Frates RA; Dee N; Desta T; Lee SD; Dotson N; Egdorf T; Ellingwood L; Enstrom R; Esposito L; Farrell C; Feng D; Fong O; Gala R; Gamlin C; Gary A; Glandon A; Goldy J; Gorham M; Graybuck L; Gu H; Hadley K; Hawrylycz MJ; Henry AM; Hill D; Hupp M; Kebede S; Kim TK; Kim L; Kroll M; Lee C; Link KE; Mallory M; Mann R; Maxwell M; McGraw M; McMillen D; Mukora A; Ng L; Ngo K; Nicovich PR; Oldre A; Park D; Peng H; Penn O; Pham T; Pom A; Popović Z; Potekhina L; Rajanbabu R; Ransford S; Reid D; Rimorin C; Robertson M; Ronellenfitch K; Ruiz A; Sandman D; Smith K; Sulc J; Sunkin SM; Szafer A; Tieu M; Torkelson A; Trinh J; Tung H; Wakeman W; Ward K; Williams G; Zhou Z; Ting JT; Arkhipov A; Sümbül U; Lein ES; Koch C; Yao Z; Tasic B; Berg J; Murphy GJ; Zeng H,False
742066665,35483373,2022 Apr 22,GPCR-mediated β-arrestin activation deconvoluted with single-molecule precision.,Asher WB; Terry DS; Gregorio GGA; Kahsai AW; Borgia A; Xie B; Modak A; Zhu Y; Jang W; Govindaraju A; Huang LY; Inoue A; Lambert NA; Gurevich VV; Shi L; Lefkowitz RJ; Blanchard SC; Javitch JA,False
739432305,33508229,2021 Feb 18,Functional characterization of the dural sinuses as a neuroimmune interface.,Rustenhoven J; Drieu A; Mamuladze T; de Lima KA; Dykstra T; Wall M; Papadopoulos Z; Kanamori M; Salvador AF; Baker W; Lemieux M; Da Mesquita S; Cugurra A; Fitzpatrick J; Sviben S; Kossina R; Bayguinov P; Townsend RR; Zhang Q; Erdmann-Gilmore P; Smirnov I; Lopes MB; Herz J; Kipnis J,False
739271519,33378642,2021 01 07,NeuroPAL: A Multicolor Atlas for Whole-Brain Neuronal Identification in C. elegans.,Yemini E; Lin A; Nejatbakhsh A; Varol E; Sun R; Mena GE; Samuel ADT; Paninski L; Venkatachalam V; Hobert O,False
739810779,33770502,01 Apr 2021,Whitefly hijacks a plant detoxification gene that neutralizes plant toxins.,Xia J; Guo Z; Yang Z; Han H; Wang S; Xu H; Yang X; Yang F; Wu Q; Xie W; Zhou X; Dermauw W; Turlings TCJ; Zhang Y,False
741950525,35385687,2022 Mar 31,A male-derived nonribosomal peptide pheromone controls female schistosome development.,Chen R; Wang J; Gradinaru I; Vu HS; Geboers S; Naidoo J; Ready JM; Williams NS; DeBerardinis RJ; Ross EM; Collins JJ,False
741776525,35247329,2022 03 17,Local hyperthermia therapy induces browning of white fat and treats obesity.,Li Y; Wang D; Ping X; Zhang Y; Zhang T; Wang L; Jin L; Zhao W; Guo M; Shen F; Meng M; Chen X; Zheng Y; Wang J; Li D; Zhang Q; Hu C; Xu L; Ma X,False
740184211,34048705,2021 May 27,"Mitocytosis, a migrasome-mediated mitochondrial quality-control process.",Jiao H; Jiang D; Hu X; Du W; Ji L; Yang Y; Li X; Sho T; Wang X; Li Y; Wu YT; Wei YH; Yu L,False
741792185,35259335,2022 Mar 31,Emerging enterococcus pore-forming toxins with MHC/HLA-I as receptors.,Xiong X; Tian S; Yang P; Lebreton F; Bao H; Sheng K; Yin L; Chen P; Zhang J; Qi W; Ruan J; Wu H; Chen H; Breault DT; Earl AM; Gilmore MS; Abraham J; Dong M,False
741491599,35063074,2022 Jan 20,Control of mammalian locomotion by ventral spinocerebellar tract neurons.,Chalif JI; Martínez-Silva ML; Pagiazitis JG; Murray AJ; Mentis GZ,False
740970688,34644530,2021 Nov 11,Cyclic CMP and cyclic UMP mediate bacterial immunity against phages.,Tal N; Morehouse BR; Millman A; Stokar-Avihail A; Avraham C; Fedorenko T; Yirmiya E; Herbst E; Brandis A; Mehlman T; Oppenheimer-Shaanan Y; Keszei AFA; Shao S; Amitai G; Kranzusch PJ; Sorek R,False
739409579,33482082,2021 Feb 04,Cell-cycle-dependent EBNA1-DNA crosslinking promotes replication termination at oriP and viral episome maintenance.,Dheekollu J; Wiedmer A; Ayyanathan K; Deakyne JS; Messick TE; Lieberman PM,False
741557984,35120664,2022 02 03,"Genomic characterization of metastatic patterns from prospective clinical sequencing of 25,000 patients.",Nguyen B; Fong C; Luthra A; Smith SA; DiNatale RG; Nandakumar S; Walch H; Chatila WK; Madupuri R; Kundra R; Bielski CM; Mastrogiacomo B; Donoghue MTA; Boire A; Chandarlapaty S; Ganesh K; Harding JJ; Iacobuzio-Donahue CA; Razavi P; Reznik E; Rudin CM; Zamarin D; Abida W; Abou-Alfa GK; Aghajanian C; Cercek A; Chi P; Feldman D; Ho AL; Iyer G; Janjigian YY; Morris M; Motzer RJ; O'Reilly EM; Postow MA; Raj NP; Riely GJ; Robson ME; Rosenberg JE; Safonov A; Shoushtari AN; Tap W; Teo MY; Varghese AM; Voss M; Yaeger R; Zauderer MG; Abu-Rustum N; Garcia-Aguilar J; Bochner B; Hakimi A; Jarnagin WR; Jones DR; Molena D; Morris L; Rios-Doria E; Russo P; Singer S; Strong VE; Chakravarty D; Ellenson LH; Gopalan A; Reis-Filho JS; Weigelt B; Ladanyi M; Gonen M; Shah SP; Massague J; Gao J; Zehir A; Berger MF; Solit DB; Bakhoum SF; Sanchez-Vega F; Schultz N,False
738486030,32795414,2020 Aug 20,Extracellular vesicle and particle biomarkers define multiple human cancers.,Hoshino A; Kim HS; Bojmar L; Gyan KE; Cioffi M; Hernandez J; Zambirinis CP; Rodrigues G; Molina H; Heissel S; Mark MT; Steiner L; Benito-Martin A; Lucotti S; Di Giannatale A; Offer K; Nakajima M; Williams C; Nogués L; Pelissier Vatter FA; Hashimoto A; Davies AE; Freitas D; Kenific CM; Ararso Y; Buehring W; Lauritzen P; Ogitani Y; Sugiura K; Takahashi N; Alečković M; Bailey KA; Jolissant JS; Wang H; Harris A; Schaeffer LM; García-Santos G; Posner Z; Balachandran VP; Khakoo Y; Raju GP; Scherz A; Sagi I; Scherz-Shouval R; Yarden Y; Oren M; Malladi M; Petriccione M; De Braganca KC; Donzelli M; Fischer C; Vitolano S; Wright GP; Ganshaw L; Marrano M; Ahmed A; DeStefano J; Danzer E; Roehrl MHA; Lacayo NJ; Vincent TC; Weiser MR; Brady MS; Meyers PA; Wexler LH; Ambati SR; Chou AJ; Slotkin EK; Modak S; Roberts SS; Basu EM; Diolaiti D; Krantz BA; Cardoso F; Simpson AL; Berger M; Rudin CM; Simeone DM; Jain M; Ghajar CM; Batra SK; Stanger BZ; Bui J; Brown KA; Rajasekhar VK; Healey JH; de Sousa M; Kramer K; Sheth S; Baisch J; Pascual V; Heaton TE; La Quaglia MP; Pisapia DJ; Schwartz R; Zhang H; Liu Y; Shukla A; Blavier L; DeClerck YA; LaBarge M; Bissell MJ; Caffrey TC; Grandgenett PM; Hollingsworth MA; Bromberg J; Costa-Silva B; Peinado H; Kang Y; Garcia BA; O'Reilly EM; Kelsen D; Trippett TM; Jones DR; Matei IR; Jarnagin WR; Lyden D,False
740950363,34624221,2021 Oct 14,"Cohesin mediates DNA loop extrusion by a ""swing and clamp"" mechanism.",Bauer BW; Davidson IF; Canena D; Wutz G; Tang W; Litos G; Horn S; Hinterdorfer P; Peters JM,False
741021998,34678144,2021 11 11,Phase separation drives RNA virus-induced activation of the NLRP6 inflammasome.,Shen C; Li R; Negro R; Cheng J; Vora SM; Fu TM; Wang A; He K; Andreeva L; Gao P; Tian Z; Flavell RA; Zhu S; Wu H,False
737950342,32413294,2020 May 14,What makes a discovery successful? The story of Linda Buck and the olfactory receptors.,Barwich AS,False
